Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
DCP,DCP Midstream LP,38.57,-0.03,-0.08%,"265,034","710,739",8.038B,7.68
OGE,OGE Energy Corp.,39.93,0.44,1.11%,513.397k,1.203M,7.994B,8.57
PAC,Grupo Aeroportuario del Pacífico S.A.B. de C.V.,157.83,-1.89,-1.18%,"16,124","50,044",7.975B,17.46
ASR,Grupo Aeroportuario del Sureste S. A. B. de C. V.,249.93,0.27,0.11%,"20,262","56,303",7.527B,15.72
HR,Healthcare Realty Trust Incorporated,19.83,0.1,0.51%,3.132M,2.865M,7.547B,40.47
GLOB,Globant S.A.,178.15,6.46,3.76%,"104,617","306,038",7.442B,57.1
WMS,Advanced Drainage Systems Inc.,88.26,-0.51,-0.57%,"286,066","829,131",7.313B,16.28
GPK,Graphic Packaging Holding Company,22.58,-0.03,-0.13%,954.275k,2.842M,6.935B,17.37
DOCS,Doximity Inc.,35.46,0.7,2.00%,446.598k,2.223M,6.824B,54.54
MTDR,Matador Resources Company,57.58,-1.44,-2.45%,474.610k,1.21M,6.803B,5.87
PLNT,Planet Fitness Inc.,75.86,-0.15,-0.19%,323.424k,"976,706",6.795B,92.52
MUSA,Murphy USA Inc.,292.52,-3.68,-1.24%,"151,172","328,601",6.609B,10.87
IOT,Samsara Inc.,12.55,0.65,5.46%,"575,396",1.416M,6.512B,N/A
RBC,RBC Bearings Incorporated,223.04,-0.69,-0.31%,"28,178","144,961",6.472B,63.01
CLH,Clean Harbors Inc.,118.25,-0.52,-0.44%,"121,594","431,696",6.394B,16.8
CHH,Choice Hotels International Inc.,119.63,2.95,2.53%,"101,023","459,485",6.376B,19.71
MGY,Magnolia Oil & Gas Corporation,22.64,-0.64,-2.75%,648.717k,1.772M,6.145B,5.22
CLVT,Clarivate Plc,9.05,0.08,0.89%,3.979M,7.928M,6.101B,N/A
CIB,Bancolombia S.A.,25.36,-0.39,-1.51%,"318,115","309,131",6.098B,4.46
YPF,YPF Sociedad Anónima,7.49,-0.29,-3.79%,"877,855",2.383M,5.993B,2.12
RLI,RLI Corp.,128.79,0.93,0.73%,"28,873","177,296",5.844B,10.15
ALK,Alaska Air Group Inc.,44.26,-0.02,-0.05%,548.371k,1.442M,5.615B,113.51
OSH,Oak Street Health Inc.,21.77,0.49,2.30%,"396,700",1.782M,5.288B,N/A
ESTC,Elastic N.V.,54.42,2.43,4.67%,"463,750",1.546M,5.203B,N/A
AMN,AMN Healthcare Services Inc.,117.55,-1.28,-1.08%,"293,888","596,807",5.094B,11.43
BLD,TopBuild Corp.,159.05,3.32,2.13%,"87,144","360,322",5.085B,10.37
CNM,Core & Main Inc.,20.77,0.09,0.44%,"279,046","928,658",5.193B,10.87
CIVI,Civitas Resources Inc.,57.3,-2.4,-4.02%,"302,828","795,379",4.877B,3.7
SMAR,Smartsheet Inc.,36.86,0.94,2.62%,"403,692",1.516M,4.824B,N/A
NJR,New Jersey Resources Corporation,49.94,0.08,0.15%,"285,038","605,966",4.813B,17.52
DAVA,Endava plc,78.33,1.62,2.11%,"54,698","322,544",4.446B,42.8
YOU,Clear Secure Inc.,28.75,0.21,0.74%,"404,020",1.022M,4.382B,N/A
FIX,Comfort Systems USA Inc.,122.35,1.07,0.88%,"56,435","202,650",4.375B,19.39
SJI,South Jersey Industries Inc.,35.17,0.12,0.36%,"346,337","831,863",4.308B,26.45
DV,DoubleVerify Holdings Inc.,25.23,0.59,2.39%,"227,139",1.339M,4.16B,84.1
IRT,Independence Realty Trust Inc.,18.01,0.4,2.30%,1.003M,2.038M,4.146B,28.6
