Symbol,Company,      Price,Chg, Chg,Weight
ESS,Essex Property Trust Inc.,   211.89,-2.49,-1.16,0.041116
JKHY,Jack Henry & Associates Inc.,   183.63,-5.3,-2.81,0.041112
ALGN,Align Technology Inc.,   185.17,-2.74,-1.46,0.040703
BRO,Brown & Brown Inc.,   57.71,-1.34,-2.27,0.040703
DPZ,Domino's Pizza Inc.,   365.20,-16.06,-4.21,0.040698
HRL,Hormel Foods Corporation,   46.83,-0.37,-0.77,0.040649
GEN,Gen Digital Inc.,   23.11,-0.5,-2.10,0.040461
KIM,Kimco Realty Corporation,   21.96,-0.15,-0.68,0.040355
ZBRA,Zebra Technologies Corporation Class A,   253.93,-7.87,-3.01,0.040345
EQT,EQT Corporation,   37.16,0.09,-0.24,0.040271
LNT,Alliant Energy Corp,   54.73,0.19,-0.35,0.040247
CBOE,Cboe Global Markets Inc,   129.52,2.28,-1.79,0.040009
BF.B,Brown-Forman Corporation Class B,   73.07,-0.95,-1.28,0.039873
IP,International Paper Company,   36.09,-0.43,-1.18,0.039307
EVRG,Evergy Inc.,   57.95,-0.22,-0.37,0.039243
TYL,Tyler Technologies Inc.,   312.27,-11.24,-3.47,0.03903
VTRS,Viatris Inc.,   10.84,-0.08,-0.73,0.038932
RE,Everest Re Group Ltd.,   334.34,3.75,-1.13,0.03884
RCL,Royal Caribbean Group,   57.20,-2.22,-3.74,0.038746
PTC,PTC Inc.,   121.17,-2.16,-1.75,0.038525
IPG,Interpublic Group of Companies Inc.,   32.45,-0.59,-1.77,0.038333
MTCH,Match Group Inc.,   43.01,-2.77,-6.05,0.038279
NDSN,Nordson Corporation,   233.34,-5,-2.10,0.038271
SNA,Snap-on Incorporated,   235.33,-4.35,-1.81,0.038135
PKG,Packaging Corporation of America,   133.68,-1.9,-1.40,0.037979
TECH,Bio-Techne Corporation,   79.70,-2.9,-3.51,0.037893
POOL,Pool Corporation,   314.18,-5.93,-1.85,0.03782
LW,Lamb Weston Holdings Inc.,   86.13,-1.55,-1.77,0.037501
HST,Host Hotels & Resorts Inc.,   17.37,-0.31,-1.75,0.037048
CPT,Camden Property Trust,   114.42,-1.97,-1.69,0.036788
MGM,MGM Resorts International,   36.91,-0.89,-2.35,0.036709
SIVB,SVB Financial Group,   199.93,-9.31,-4.45,0.036169
UDR,UDR Inc.,   39.51,-0.74,-1.84,0.03565
CHRW,C.H. Robinson Worldwide Inc.,   93.86,-1.57,-1.64,0.035179
SWK,Stanley Black & Decker Inc.,   76.71,-1.91,-2.43,0.034547
HSIC,Henry Schein Inc.,   80.22,-1.26,-1.54,0.033546
MAS,Masco Corporation,   47.75,-1.66,-3.36,0.03317
NI,NiSource Inc,   27.58,0.07,-0.25,0.033123
L,Loews Corporation,   56.44,0.11,-0.20,0.0327
TFX,Teleflex Incorporated,   234.50,-1.28,-0.54,0.032502
KMX,CarMax Inc.,   64.41,-2.98,-4.42,0.032362
WDC,Western Digital Corporation,   33.62,-1.18,-3.38,0.032214
CE,Celanese Corporation,   103.56,-4.83,-4.45,0.032155
CPB,Campbell Soup Company,   52.67,-0.63,-1.18,0.032118
GL,Globe Life Inc.,   118.16,-0.63,-0.53,0.032
MKTX,MarketAxess Holdings Inc.,   285.93,1.15,-0.40,0.031891
CRL,Charles River Laboratories International Inc.,   208.86,-6.25,-2.91,0.031869
CZR,Caesars Entertainment Inc,   48.07,-1.72,-3.45,0.031504
EMN,Eastman Chemical Company,   84.20,-1.89,-2.19,0.031463
LYV,Live Nation Entertainment Inc.,   71.17,-2.72,-3.67,0.031243
JNPR,Juniper Networks Inc.,   31.97,-0.57,-1.74,0.031185
TAP,Molson Coors Beverage Company Class B,   52.55,-1.95,-3.58,0.030468
STX,Seagate Technology Holdings PLC,   51.97,-0.28,-0.54,0.030333
PHM,PulteGroup Inc.,   42.90,-0.81,-1.85,0.030088
QRVO,Qorvo Inc.,   95.40,-2.16,-2.21,0.029975
BBWI,Bath & Body Works Inc.,   42.43,-1.4,-3.19,0.029752
BWA,BorgWarner Inc.,   41.00,-0.91,-2.17,0.029739
CDAY,Ceridian HCM Holding Inc.,   62.26,-2.27,-3.52,0.029402
ALLE,Allegion Public Limited Company,   107.68,-3.34,-3.01,0.029358
PARA,Paramount Global Class B,   18.14,-1.37,-7.02,0.029324
REG,Regency Centers Corporation,   65.05,0.23,-0.35,0.029216
FOXA,Fox Corporation Class A,   31.21,-0.8,-2.50,0.029207
NRG,NRG Energy Inc.,   34.01,-6.83,-16.72,0.02859
BXP,Boston Properties Inc.,   65.48,-2.37,-3.49,0.028413
VFC,V.F. Corporation,   29.24,-0.27,-0.91,0.028169
CCL,Carnival Corporation,   9.23,-0.45,-4.65,0.028027
HII,Huntington Ingalls Industries Inc.,   234.18,-1.66,-0.70,0.027915
TPR,Tapestry Inc.,   37.22,0.07,-0.19,0.027831
WRK,WestRock Company,   36.12,-0.53,-1.45,0.027714
CTLT,Catalent Inc,   48.09,-2.68,-5.28,0.02691
AAL,American Airlines Group Inc.,   14.07,-0.04,-0.28,0.026908
WYNN,Wynn Resorts Limited,   85.21,-0.56,-0.65,0.026791
AAP,Advance Auto Parts Inc.,   144.75,-3.61,-2.43,0.026747
FFIV,F5 Inc.,   148.15,-2.69,-1.78,0.026716
ROL,Rollins Inc.,   39.32,-0.28,-0.71,0.02607
CMA,Comerica Incorporated,   65.39,-1.13,-1.70,0.026062
PNW,Pinnacle West Capital Corporation,   77.14,-0.72,-0.92,0.026052
BIO,Bio-Rad Laboratories Inc. Class A,   396.99,-8.8,-2.17,0.025728
UHS,Universal Health Services Inc. Class B,   126.31,-1.05,-0.82,0.02535
IVZ,Invesco Ltd.,   18.39,-0.2,-1.08,0.025169
RHI,Robert Half International Inc.,   73.57,-1.99,-2.63,0.024771
HAS,Hasbro Inc.,   60.69,-2.55,-4.03,0.023997
FBHS,Fortune Brands Home & Security Inc.,   59.36,-2.12,-3.44,0.023659
SEE,Sealed Air Corporation,   52.22,-1.07,-2.01,0.023552
SBNY,Signature Bank,   120.35,-5.53,-4.39,0.023369
WHR,Whirlpool Corporation,   139.77,-1.69,-1.19,0.022929
AOS,A. O. Smith Corporation,   58.80,-1.02,-1.71,0.022848
FRT,Federal Realty Investment Trust,   106.32,-0.69,-0.64,0.022138
PNR,Pentair plc,   44.00,-1.25,-2.76,0.02212
BEN,Franklin Resources Inc.,   26.47,-0.65,-2.38,0.02199
NWSA,News Corporation Class A,   18.40,-0.32,-1.71,0.021736
ZION,Zions Bancorporation N.A.,   46.88,-1.54,-3.18,0.021725
AIZ,Assurant Inc.,   128.29,-1.26,-0.97,0.020527
NCLH,Norwegian Cruise Line Holdings Ltd.,   15.64,-0.57,-3.52,0.020007
OGN,Organon & Co.,   25.96,-0.4,-1.50,0.019798
XRAY,DENTSPLY SIRONA Inc.,   29.93,-0.69,-2.25,0.019727
DXC,DXC Technology Co.,   27.51,0.14,-0.49,0.018723
GNRC,Generac Holdings Inc.,   93.02,-3.58,-3.71,0.017981
LNC,Lincoln National Corp,   37.22,-0.52,-1.38,0.017403
ALK,Alaska Air Group Inc.,   45.79,-0.92,-1.97,0.017231
MHK,Mohawk Industries Inc.,   94.59,-3.51,-3.57,0.014993
RL,Ralph Lauren Corporation Class A,   110.54,-0.47,-0.42,0.014175
LUMN,Lumen Technologies Inc.,   5.28,0.08,-1.44,0.014164
NWL,Newell Brands Inc,   12.51,-0.08,-0.64,0.014137
FOX,Fox Corporation Class B,   29.36,-0.79,-2.62,0.013169
DVA,DaVita Inc.,   73.19,-0.26,-0.35,0.012177
VNO,Vornado Realty Trust,   21.89,-1.01,-4.43,0.010677
DISH,DISH Network Corporation Class A,   14.22,-0.25,-1.73,0.010637
NWS,News Corporation Class B,   18.67,-0.3,-1.56,0.006903
