Symbol,Company,      Price,Chg, Chg,Weight
PYPL,PayPal Holdings Inc.,   71.74,-1.88,-2.55,0.253154
MO,Altria Group Inc,   46.23,-0.96,-2.03,0.252955
VRTX,Vertex Pharmaceuticals Incorporated,   311.04,-6.56,-2.07,0.242445
REGN,Regeneron Pharmaceuticals Inc.,   748.60,-6.85,-0.91,0.240895
SYK,Stryker Corporation,   234.93,-2.97,-1.25,0.238394
NOW,ServiceNow Inc.,   385.25,-7.01,-1.79,0.235868
NOC,Northrop Grumman Corp.,   529.58,-11.86,-2.19,0.234119
EOG,EOG Resources Inc.,   128.88,-5.26,-3.92,0.233989
PGR,Progressive Corporation,   130.36,-0.9,-0.69,0.227787
DUK,Duke Energy Corporation,   99.35,0.22,-0.22,0.226471
ZTS,Zoetis Inc. Class A,   153.05,-2.29,-1.47,0.216213
SLB,Schlumberger NV,   51.17,-0.22,-0.42,0.215517
TGT,Target Corporation,   153.96,-0.97,-0.63,0.213841
SO,Southern Company,   68.49,1.01,-1.49,0.213514
BDX,Becton Dickinson and Company,   243.47,-2.75,-1.11,0.209008
APD,Air Products and Chemicals Inc.,   311.34,-3.64,-1.15,0.207265
HUM,Humana Inc.,   540.69,-6.73,-1.23,0.205464
MMM,3M Company,   123.64,-1,-0.80,0.204712
CSX,CSX Corporation,   30.94,-0.41,-1.31,0.199804
FISV,Fiserv Inc.,   100.27,-1.92,-1.88,0.194546
AON,Aon Plc Class A,   308.12,-0.62,-0.20,0.19364
BSX,Boston Scientific Corporation,   44.97,-0.45,-0.99,0.19269
CME,CME Group Inc. Class A,   180.27,-0.12,-0.06,0.191884
CL,Colgate-Palmolive Company,   76.71,-0.41,-0.53,0.191798
ETN,Eaton Corp. Plc,   156.78,-3.58,-2.23,0.190116
ITW,Illinois Tool Works Inc.,   220.92,-3.27,-1.46,0.18798
WM,Waste Management Inc.,   165.29,-2.5,-1.49,0.187858
PNC,PNC Financial Services Group Inc.,   149.97,-3.14,-2.05,0.186825
EQIX,Equinix Inc.,   680.69,-3.59,-0.52,0.18482
LRCX,Lam Research Corporation,   441.75,-10.85,-2.40,0.184515
CCI,Crown Castle Inc.,   137.38,-1.24,-0.89,0.178133
SHW,Sherwin-Williams Company,   250.15,-3.45,-1.36,0.17804
ICE,Intercontinental Exchange Inc.,   105.86,-1.23,-1.15,0.177826
MU,Micron Technology Inc.,   53.45,-0.6,-1.10,0.177466
USB,U.S. Bancorp,   42.60,-1.31,-2.98,0.17672
MRNA,Moderna Inc.,   171.22,-4.71,-2.68,0.17617
NSC,Norfolk Southern Corporation,   240.58,-6.73,-2.72,0.17289
GD,General Dynamics Corporation,   247.12,-3.79,-1.51,0.16794
GM,General Motors Company,   37.51,-1.28,-3.30,0.167827
EMR,Emerson Electric Co.,   93.76,-1.39,-1.46,0.167701
TFC,Truist Financial Corporation,   41.47,-1.13,-2.64,0.167628
MPC,Marathon Petroleum Corporation,   109.08,-3.37,-3.00,0.166903
DG,Dollar General Corporation,   241.60,-4.33,-1.76,0.165943
FCX,Freeport-McMoRan Inc.,   38.39,-0.48,-1.22,0.165409
KLAC,KLA Corporation,   382.63,-5.94,-1.53,0.164007
MCK,McKesson Corporation,   376.71,-5.73,-1.50,0.163645
PXD,Pioneer Natural Resources Company,   225.23,-5.14,-2.23,0.163639
ATVI,Activision Blizzard Inc.,   76.29,-0.04,-0.05,0.161745
ORLY,O'Reilly Automotive Inc.,   822.03,-21.07,-2.50,0.160013
EL,Estee Lauder Companies Inc. Class A,   232.92,1.45,-0.63,0.159213
F,Ford Motor Company,   13.12,-0.26,-1.94,0.157288
GIS,General Mills Inc.,   84.98,-1.33,-1.54,0.153055
SRE,Sempra Energy,   164.62,0.93,-0.57,0.15266
ADM,Archer-Daniels-Midland Company,   89.98,-0.79,-0.87,0.151546
HCA,HCA Healthcare Inc,   234.80,-0.55,-0.23,0.150819
SNPS,Synopsys Inc.,   326.65,-4.63,-1.40,0.150466
MET,MetLife Inc.,   74.90,-0.5,-0.66,0.150368
PSX,Phillips 66,   102.52,-1.63,-1.57,0.14869
OXY,Occidental Petroleum Corporation,   64.32,-2.04,-3.07,0.147184
CNC,Centene Corporation,   85.50,-0.85,-0.98,0.146915
D,Dominion Energy Inc,   58.00,-1.27,-2.14,0.146876
AEP,American Electric Power Company Inc.,   95.99,1.47,-1.56,0.14405
VLO,Valero Energy Corporation,   118.19,-2.77,-2.29,0.141852
APH,Amphenol Corporation Class A,   78.06,-1.42,-1.79,0.140191
AIG,American International Group Inc.,   61.26,-0.27,-0.44,0.139259
KMB,Kimberly-Clark Corporation,   135.52,-1.66,-1.21,0.137847
JCI,Johnson Controls International plc,   65.62,-1.59,-2.37,0.137797
CTVA,Corteva Inc,   63.33,-1.03,-1.60,0.137521
ROP,Roper Technologies Inc.,   431.70,-5.13,-1.17,0.137285
MCO,Moody's Corporation,   291.99,0.69,-0.24,0.136793
EW,Edwards Lifesciences Corporation,   72.23,-1.63,-2.20,0.136455
PSA,Public Storage,   286.40,-3.05,-1.05,0.136134
CDNS,Cadence Design Systems Inc.,   163.09,-3.38,-2.03,0.135799
DXCM,DexCom Inc.,   116.20,-0.36,-0.31,0.135769
A,Agilent Technologies Inc.,   150.23,-2.47,-1.62,0.135594
ENPH,Enphase Energy Inc.,   306.18,-29.64,-8.83,0.135391
MSI,Motorola Solutions Inc.,   264.06,-4.17,-1.55,0.133094
TRV,Travelers Companies Inc.,   187.71,0.5,-0.27,0.132268
MAR,Marriott International Inc. Class A,   159.32,-2.73,-1.68,0.132227
FIS,Fidelity National Information Services Inc.,   69.19,-3.68,-5.05,0.13205
NXPI,NXP Semiconductors NV,   162.54,-5.83,-3.46,0.131472
DVN,Devon Energy Corporation,   64.52,-2.03,-3.05,0.129709
CMG,Chipotle Mexican Grill Inc.,1512.25,-58.36,-3.72,0.129706
SYY,Sysco Corporation,   84.14,-0.99,-1.16,0.1291
ADSK,Autodesk Inc.,   192.61,-5.78,-2.91,0.128132
CHTR,Charter Communications Inc. Class A,   368.20,-19.59,-5.05,0.127972
LHX,L3Harris Technologies Inc,   219.17,-5.54,-2.47,0.127869
BIIB,Biogen Inc.,   289.86,-2.89,-0.99,0.126289
MCHP,Microchip Technology Incorporated,   75.22,-1.36,-1.78,0.125519
FDX,FedEx Corporation,   172.35,-4.25,-2.41,0.124976
WMB,Williams Companies Inc.,   33.44,-0.74,-2.15,0.123935
AJG,Arthur J. Gallagher & Co.,   194.91,-1.92,-0.98,0.123244
EXC,Exelon Corporation,   42.98,1.23,-2.93,0.123238
ROST,Ross Stores Inc.,   116.71,-0.65,-0.55,0.122108
TT,Trane Technologies plc,   171.82,-4.2,-2.38,0.121603
AFL,Aflac Incorporated,   70.47,-0.57,-0.80,0.121598
MSCI,MSCI Inc. Class A,   497.71,-6.78,-1.34,0.121312
STZ,Constellation Brands Inc. Class A,   246.82,-8.04,-3.15,0.120832
TEL,TE Connectivity Ltd.,   121.02,-2.93,-2.36,0.117986
NUE,Nucor Corporation,   151.19,0.18,-0.12,0.117691
IQV,IQVIA Holdings Inc,   208.28,-3.65,-1.72,0.117625
CTAS,Cintas Corporation,   450.99,-8.42,-1.83,0.117615
MNST,Monster Beverage Corporation,   101.12,-1.06,-1.03,0.116972
PAYX,Paychex Inc.,   120.49,-2.7,-2.19,0.116332
PRU,Prudential Financial Inc.,   103.00,-1.74,-1.66,0.115852
HES,Hess Corporation,   135.56,-5.03,-3.58,0.115589
O,Realty Income Corporation,   62.66,0.42,-0.67,0.114413
SPG,Simon Property Group Inc.,   117.51,-0.18,-0.15,0.114051
HLT,Hilton Worldwide Holdings Inc,   136.56,-2.59,-1.86,0.113465
NEM,Newmont Corporation,   47.02,-0.46,-0.96,0.11187
PH,Parker-Hannifin Corporation,   287.99,-4.89,-1.67,0.111455
XEL,Xcel Energy Inc.,   68.93,0.25,-0.36,0.111015
YUM,Yum! Brands Inc.,   130.20,-0.71,-0.54,0.110827
ECL,Ecolab Inc.,   147.87,-2.58,-1.71,0.110409
CARR,Carrier Global Corp.,   42.56,-1.21,-2.75,0.109631
DOW,Dow Inc.,   50.77,-0.49,-0.95,0.109548
KMI,Kinder Morgan Inc Class P,   18.15,-0.42,-2.24,0.109526
COF,Capital One Financial Corp,   93.09,-1.93,-2.03,0.108562
PCAR,PACCAR Inc,   103.56,0.2,-0.19,0.105837
DD,DuPont de Nemours Inc.,   69.60,-0.82,-1.16,0.104995
IDXX,IDEXX Laboratories Inc.,   413.75,-8.55,-2.02,0.104667
AMP,Ameriprise Financial Inc.,   318.57,-2.6,-0.81,0.1034
ALL,Allstate Corporation,   129.05,0.61,-0.47,0.103333
CMI,Cummins Inc.,   245.89,0.54,-0.22,0.102867
EA,Electronic Arts Inc.,   127.09,-3.33,-2.55,0.102523
HSY,Hershey Company,   230.72,-2.53,-1.08,0.101968
ED,Consolidated Edison Inc.,   96.96,-0.41,-0.42,0.101759
FTNT,Fortinet Inc.,   50.95,-0.72,-1.39,0.100658
ILMN,Illumina Inc.,   205.50,-8.36,-3.91,0.098771
OTIS,Otis Worldwide Corporation,   78.54,0.06,-0.08,0.098041
HAL,Halliburton Company,   36.36,-0.46,-1.25,0.097949
ANET,Arista Networks Inc.,   128.59,-4.25,-3.20,0.097445
MTD,Mettler-Toledo International Inc.,   1440.42,-13.95,-0.96,0.097367
AME,AMETEK Inc.,   138.98,-3.1,-2.18,0.096857
WELL,Welltower Inc,   68.29,-1.91,-2.71,0.096797
BK,Bank of New York Mellon Corp,   42.61,-1.43,-3.25,0.096411
CSGP,CoStar Group Inc.,   80.61,-1.17,-1.43,0.096388
KDP,Keurig Dr Pepper Inc.,   37.62,-0.34,-0.90,0.095998
KEYS,Keysight Technologies Inc,   175.54,-3.02,-1.69,0.095626
VICI,VICI Properties Inc,   33.36,0.06,-0.17,0.095154
RMD,ResMed Inc.,   216.06,-3.29,-1.50,0.094956
TDG,TransDigm Group Incorporated,   603.48,-13.37,-2.17,0.094651
PPG,PPG Industries Inc.,   130.69,-3.9,-2.90,0.094167
SBAC,SBA Communications Corp. Class A,   287.93,-5.59,-1.90,0.09413
KHC,Kraft Heinz Company,   39.35,-0.28,-0.69,0.093936
DLR,Digital Realty Trust Inc.,   107.68,-1.48,-1.36,0.09338
CTSH,Cognizant Technology Solutions Corporation Class A,   59.27,-1.18,-1.95,0.093064
DLTR,Dollar Tree Inc.,   145.49,-2.35,-1.59,0.092884
ON,ON Semiconductor Corporation,   69.87,-1.7,-2.38,0.092274
ALB,Albemarle Corporation,   257.39,-7.84,-2.96,0.091468
PEG,Public Service Enterprise Group Inc,   59.92,-0.35,-0.58,0.089839
ROK,Rockwell Automation Inc.,   257.25,-5.42,-2.06,0.08983
KR,Kroger Co.,   46.07,-0.01,-0.01,0.089668
WEC,WEC Energy Group Inc,   94.60,0.35,-0.37,0.087669
WBA,Walgreens Boots Alliance Inc.,   40.69,-0.52,-1.26,0.087236
CEG,Constellation Energy Corporation,   90.08,0.02,-0.02,0.086577
BKR,Baker Hughes Company Class A,   28.22,-0.51,-1.76,0.086487
ES,Eversource Energy,   83.24,-0.41,-0.49,0.086257
FAST,Fastenal Company,   49.97,-0.92,-1.81,0.086246
OKE,ONEOK Inc.,   63.58,-1.73,-2.65,0.08585
VRSK,Verisk Analytics Inc,   182.10,-1.05,-0.57,0.08557
RSG,Republic Services Inc.,   136.91,-2.2,-1.58,0.085049
MTB,M&T Bank Corporation,   159.67,-1.64,-1.02,0.084338
DFS,Discover Financial Services,   102.61,-0.9,-0.87,0.084166
GPN,Global Payments Inc.,   97.45,-3.98,-3.92,0.083675
TROW,T. Rowe Price Group,   120.98,-2.65,-2.14,0.082957
CPRT,Copart Inc.,   64.00,-1.71,-2.60,0.082831
IT,Gartner Inc.,   346.49,-3.97,-1.13,0.082519
STT,State Street Corporation,   73.94,-2.3,-3.02,0.082222
AWK,American Water Works Company Inc.,   152.89,-0.29,-0.19,0.082011
APTV,Aptiv PLC,   99.17,-2.46,-2.42,0.08106
WTW,Willis Towers Watson Public Limited Company,   245.84,-0.82,-0.33,0.080655
IFF,International Flavors & Fragrances Inc.,   104.16,-2.63,-2.46,0.0803
DHI,D.R. Horton Inc.,   83.10,-1.63,-1.92,0.07972
ABC,AmerisourceBergen Corporation,   169.06,-2.22,-1.30,0.079196
HPQ,HP Inc.,   28.27,-0.95,-3.24,0.079126
GWW,W.W. Grainger Inc.,   579.18,-7.27,-1.24,0.079041
ODFL,Old Dominion Freight Line Inc.,   284.83,-4.93,-1.70,0.079006
GPC,Genuine Parts Company,   181.44,-3.49,-1.88,0.078089
BAX,Baxter International Inc.,   51.12,-0.18,-0.35,0.076653
GLW,Corning Inc,   33.05,-0.46,-1.36,0.07557
ZBH,Zimmer Biomet Holdings Inc.,   121.11,-1.17,-0.96,0.075289
FANG,Diamondback Energy Inc.,   138.89,-3.11,-2.19,0.075124
CDW,CDW Corp.,   183.60,-3.33,-1.78,0.074906
CBRE,CBRE Group Inc. Class A,   76.43,-1.31,-1.68,0.074272
ULTA,Ulta Beauty Inc.,   463.63,-8.89,-1.88,0.073235
TSCO,Tractor Supply Company,   215.05,-5.9,-2.67,0.072994
EIX,Edison International,   65.46,0.34,-0.52,0.072923
WBD,Warner Bros. Discovery Inc. Series A,   10.67,-0.48,-4.30,0.072823
PCG,PG&E Corporation,   15.32,0,0.00,0.072429
URI,United Rentals Inc.,   345.86,0.19,-0.05,0.07198
EBAY,eBay Inc.,   43.01,-0.94,-2.13,0.071857
HIG,Hartford Financial Services Group Inc.,   74.47,-0.21,-0.28,0.071834
FTV,Fortive Corp.,   66.16,-1.06,-1.58,0.071024
AVB,AvalonBay Communities Inc.,   166.92,-3.38,-1.98,0.070122
VMC,Vulcan Materials Company,   176.47,-2.53,-1.41,0.070046
WY,Weyerhaeuser Company,   30.80,-0.72,-2.28,0.069665
ETR,Entergy Corporation,   115.71,0.31,-0.27,0.069624
EFX,Equifax Inc.,   192.83,-0.85,-0.44,0.06959
LUV,Southwest Airlines Co.,   39.47,-0.04,-0.09,0.068916
NDAQ,Nasdaq Inc.,   66.75,-1.11,-1.64,0.068477
DAL,Delta Air Lines Inc.,   35.35,-0.44,-1.23,0.06754
