Tick,Company Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ROST, Ross Stores Inc., 95.13, -1.61,-1.66, 2938839, -.5,
STX, Seagate Technology PLC, 46.65, -1.14,-2.39, 3213369, -.3,
SHPG, Shire plc, 176.85, -2.34,-1.31, 720374, -.1,
SIRI, Sirius XM Holdings Inc., 6.21, -0.05,-0.8, 33177809, -.2,
SWKS, Skyworks Solutions Inc., 91.05, -1.4,-1.51, 1295924, -.2,
SBUX, Starbucks Corporation, 55.89, 0.42,0.76, 9722043, .5,
SYMC, Symantec Corporation, 20.42, -0.27,-1.3, 7403870, -.2,
SNPS, Synopsys Inc., 94.63, -2.7,-2.77, 1395452, -.4,
TMUS, T-Mobile US Inc., 68.95, -0.03,-0.04, 2889052, .0,
TTWO, Take-Two Interactive Software Inc., 131.88, -4.23,-3.11, 1972621, -.4,
TSLA, Tesla Inc., 281.83, -12.97,-4.4, 9811190, -1.9,
TXN, Texas Instruments Incorporated, 105.87, -2.31,-2.14, 5843515, -2.0,
KHC, The Kraft Heinz Company, 55.52, -0.08,-0.14, 4347020, -.1,
FOX, Twenty-First Century Fox Inc., 46.27, -0.24,-0.52, 3727352, -.2,
FOXA, Twenty-First Century Fox Inc., 46.61, -0.23,-0.49, 7675557, -.2,
ULTA, Ulta Beauty Inc., 275, -3.87,-1.39, 650820, -.2,
VRSK, Verisk Analytics Inc., 118.36, -2.61,-2.16, 940707, -.4,
VRTX, Vertex Pharmaceuticals Incorporated, 188.62, -3.59,-1.87, 933903, -.8,
VOD, Vodafone Group Plc, 21.2, -0.06,-0.28, 13913088, .0,
WBA, Walgreens Boots Alliance Inc., 73.34, -0.46,-0.62, 3826886, -.4,
WDC, Western Digital Corporation, 56.61, -1.75,-3, 5434042, -.4,
WDAY, Workday Inc., 139.76, -5.9,-4.05, 1806969, -.8,
WYNN, Wynn Resorts Limited, 123.44, -3.7,-2.91, 2145072, -.4,
XLNX, Xilinx Inc., 82.24, 0.12,0.15, 4731469, .0,
