4/13/2020 16:00,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:50,4/13/2020 14:35,4/13/2020 14:25,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 13:55,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:25,4/13/2020 11:10,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:25,4/13/2020 10:15,4/13/2020 10:00,4/13/2020 9:45,4/13/2020 9:35
49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67
29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88
49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42,49.42
20.96,20.985,21,20.998,20.977,20.9634,20.93,20.93,20.93,20.93,20.9719,20.9719,20.9719,20.9719,20.9719,20.9719,20.9719,20.9719,20.9837,20.9608,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98
100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58,130.58
109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92
20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.65,9.65,9.65,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
